NAME,total_subscribers,total_views,total_videos,ID
T-Series ,269000000,260297831756,21338,UCq-Fj5jknLsUf-MWSy4_brA
SET India ,174000000,165872809804,139909,UCpEhnqL0y41EpW2TvWAHD7Q
Zee Music Company ,108000000,67673355706,11508,UCFFbwnve3yF62-tVXkTyHqg
Goldmines ,98100000,29380169882,8708,UCyoXW-Dse7fURq30EWl_CUA
Sony SAB ,93600000,116742464799,87465,UC6-F5tO8uklgE9Zy8IvbdFw
Zee TV ,81700000,91486650855,179140,UCppHT7SZKKvar4Oc9J4oljQ
Shemaroo Filmi Gaane ,68800000,29515699569,8638,UCP6uH_XlsxrXwZQ4DlqbqPg
Colors TV ,74000000,72053792867,155822,UC55IWqFLDH1Xp7iu1_xknRA
ChuChu TV Nursery Rhymes & Kids Songs ,91800000,51505699950,808,UCBnZ16ahKA2DZ_T5W0FPUXg
Tips Official ,67000000,39500041882,5982,UCJrDMFOdv1I2k8n9oK_V21w
Wave Music ,61000000,32374195501,4816,bhojpuriwave
Sony Music India ,65900000,32543129595,373343,UC56gTxNs4f9xZ7Pa2i5xNzg
Aaj Tak ,60600000,41702061656,4137,UCt4t-jeY85JegMlZ-E5UWtA
YRF ,63000000,36607108045,683,UCbTLwN10NoCU4WDzLf1JMOA
Infobells - Hindi ,54000000,24751382290,12497,UC1ciY6kR3yj3kaKZ6R7ewAg
CarryMinati ,44300000,29158830410,11556,carryminati
Shemaroo ,47600000,22878801026,5962,UCF1JIbMUs6uqoZEY1Haw0GQ
Speed Records ,45600000,19572185559,4636,UCOsyDsO5tIt-VZ1iwjdQmew
Voot Kids ,42500000,19196785613,3831,UCJg19noZp7-BYIGvypu_cow
Ishtar Music ,36800000,23878038394,8609,UCWi_65E_L8tQZ34C6wVAlpQ
Goldmines Gaane Sune Ansune ,42500000,4320213261,504,UCtW7qWjpCZ8zps-Cf2NF26w
T-Series Apna Punjab ,44200000,17555813114,388461,UCcvNYxWXR_5TjVK7cSCdW-g
Total Gaming ,33900000,10649009939,210,UC5c9VlYTSvBSCaoMu_GI6gQ
ABP NEWS ,41100000,26952556476,2062,UCRWFSbif-RFENbBrSiez1DA
Desi Music Factory ,42000000,19951216244,8890,UCLtNvbkqea8wN_kGtfgx_Mw
Bollywood Classics ,36500000,16728689115,4440,UCRm96I5kmb_iGFofE5N691w
Saregama Music ,42100000,20644586781,308529,UC_A7K2dXFsTMAciGmnNxy-Q
Rajshri ,34100000,17827903764,9730,UCEKWXRsfUHkan-D_ljU8Asw
IndiaTV ,41000000,7143813803,1033,UCttspZesZIDEwwpVIgoZtWQ
Eros Now Music ,36500000,21972095782,179207,UCX52tYZiEh_mHoFja3Veciw
MR. INDIAN HACKER ,41200000,12006678911,1043,UCSiDGb0MnHFGjs4E2WKvShw
Zee News ,36900000,19798211987,8327,UCIvaYmXn910QMdemBG3v1pQ
Techno Gamerz ,31900000,19925454242,659,UCX8pnu3DYUnx8qy8V_c6oHg
Wow Kidz ,32000000,17455525651,609,UCN8S4CqMRy6tVKVXvs7Bzeg
infobells - Tamil ,26400000,4980385834,192,UCHcn4Ux-sO9nzNu7rDsoQLg
infobells - Telugu ,32900000,9038883797,3413,UCHvoq_rGmOKJKGId1nD1V4Q
BB Ki Vines ,24000000,11995037531,6437,UCqwUrj10mAEsqezcItqvwEw
Shemaroo Movies ,23600000,3707791059,5494,UCBOmfqgTZi7yDp4-3Lr_3lA
White Hill Music ,25800000,6146858084,1976,UCopY0NAzASqmD6eVaRj2TFQ
Technical Guruji ,24700000,14400825250,23857,UCOhHO2ICt0ti9KAh-QHvttQ
Venus Movies ,30700000,9032652334,1365,UCpcsv3Ow-8IhoUGDEfPetsQ
Wave Music Bhojpuri ,42700000,26081503455,1214,UCYLlkv4hivYJlOk6Lo-RHNQ
Crazy XYZ ,27400000,8091183603,1764,UCebC4x5l2-PQxg46Ucv9CsA
Dushyant kukreja ,26600000,5469410856,1991,UCo6y9hnRawAqtyWhRhblXqg
Pen Movies ,24200000,10058150121,4690,UC3ar28GS6o1p0m_wabfk2zw
Ultra Movie Parlour ,21200000,1933729830,1382,UCYauDsl-rswjQGpA0_-Z9Pw
Netflix India ,24900000,3250685877,4413,UCZSNzBgFub_WWil6TOTYwAg
